from type \ to type,5-HTPMPV03,AOTU053,AOTU065,AVLP151,AVLP534,Am1,C2,C3,CB0472,CB0566,CB0592,CB0816,CB3089,CB3790,CL104,CT1,DCH,DN1-l,DN1a,DNc01,DNc02,DNg33,DNp11,DNp27,DNp30,Dm1,Dm10,Dm11,Dm12,Dm13,Dm14,Dm15,Dm16,Dm17,Dm18,Dm19,Dm2,Dm20,Dm3p,Dm3q,Dm3v,Dm4,Dm6,Dm8a,Dm8b,Dm9,DmDRA1,DmDRA2,H1,H2,HSE,HSN,HSS,L1,L2,L3,L4,L5,LAL047,LC10a,LC10b,LC10c,LC10d,LC10e,LC10f,LC11,LC12,LC13,LC14a1,LC14a2,LC14b,LC15,LC16,LC17,LC18,LC19,LC20a,LC20b,LC21,LC22,LC24,LC25,LC26,LC27,LC28a,LC29,LC31a,LC31b,LC31c,LC33a,LC34,LC35,LC36,LC37a,LC39,LC4,LC40,LC41,LC43,LC44,LC45,LC46,LC6,LC9,LCe01,LCe01a,LCe01b,LCe02,LCe03,LCe04,LCe05,LCe06,LCe07,LCe08,LCe09,LHPV2i2a,LLPC1,LLPC2,LLPC3,LLPC4,LLPt,LMTe01,LMa1,LMa2,LMa3,LMa4,LMa5,LMt1,LMt2,LMt3,LMt4,LNda,LPC1,LPC2,LPLC1,LPLC2,LPLC4,LPT04_HST,LPT21,LPT22,LPT23,LPT26,LPT27,LPT28,LPT29,LPT30,LPT31,LPT42_Nod4,LPT45_dCal1,LPT47_vCal2,LPT48_vCal3,LPT49,LPT50,LPT51,LPT52,LPT53,LPT54,LPT57,LPT58,LPTe01,LPTe02,LPi01,LPi02,LPi03,LPi04,LPi05,LPi06,LPi07,LPi08,LPi09,LPi10,LPi11,LPi12,LPi13,LPi14,LPi15,LT11,LT1a,LT1b,LT1c,LT1d,LT33,LT34,LT36,LT37,LT38,LT39,LT40,LT41,LT42,LT43,LT47,LT51,LT52,LT53,LT55,LT56,LT57,LT58,LT59,LT60,LT61a,LT61b,LT62,LT63,LT64,LT65,LT66,LT67,LT68,LT69,LT70,LT72,LT73,LT74,LT75,LT76,LT77,LT78,LT79,LT80,LT81,LT82a,LT83,LT84,LT85,LT86,LT87,LTe01,LTe02,LTe03,LTe04,LTe05,LTe06,LTe07,LTe08,LTe09,LTe10,LTe11,LTe12,LTe13,LTe14,LTe15,LTe16,LTe17,LTe18,LTe19,LTe20,LTe21,LTe22,LTe23,LTe24,LTe25,LTe26,LTe27,LTe28,LTe29,LTe30,LTe31,LTe32,LTe33,LTe35,LTe36,LTe37,LTe38a,LTe38b,LTe38c,LTe40,LTe41,LTe42a,LTe42b,LTe42c,LTe43,LTe44,LTe45,LTe46,LTe47,LTe48,LTe49a,LTe49b,LTe49c,LTe49d,LTe49e,LTe49f,LTe50,LTe51,LTe52,LTe53,LTe54,LTe55,LTe56,LTe57,LTe58,LTe59,LTe60,LTe61,LTe62,LTe63,LTe64,LTe65,LTe66,LTe67,LTe68,LTe69,LTe70,LTe71,LTe72,LTe73,LTe74,LTe75,LTe76,Lai,Lat,Lawf1,Lawf2,Li01,Li02,Li03,Li04,Li05,Li06,Li07,Li08,Li09,Li10,Li11,Li12,Li13,Li14,Li15,Li16,Li17,Li18,Li19,Li20,Li21,Li22,Li23,Li24,Li25,Li26,Li27,Li28,Li29,Li30,Li31,Li32,Li33,MC65,MLt1,MLt2,MLt3,MLt4,MLt5,MLt6,MLt7,MLt8,MTe01a,MTe01b,MTe02,MTe03,MTe04,MTe05,MTe06,MTe07,MTe08,MTe09,MTe10,MTe11,MTe12,MTe13,MTe14,MTe15,MTe16,MTe17,MTe18,MTe19,MTe20,MTe21,MTe22,MTe23,MTe24,MTe25,MTe26,MTe27,MTe28,MTe29,MTe30,MTe31,MTe32,MTe33,MTe34,MTe35,MTe36,MTe37,MTe38,MTe39,MTe40,MTe41,MTe42,MTe43,MTe44,MTe45,MTe46,MTe47,MTe48,MTe49,MTe50,MTe51,MTe52,MTe53,MTe54,MeLp1,MeLp2,MeMe_e01,MeMe_e02,MeMe_e03,MeMe_e04,MeMe_e05,MeMe_e06,MeMe_e07,MeMe_e08,MeMe_e09,MeMe_e10,MeTu1,MeTu2a,MeTu2b,MeTu3a,MeTu3b,MeTu3c,MeTu4a,MeTu4b,MeTu4c,MeTu4d,Mi1,Mi10,Mi13,Mi14,Mi15,Mi2,Mi4,Mi9,Nod1,Nod2,Nod3,Nod5,OA-AL2b1,OA-AL2b2,OA-AL2i1,OA-AL2i2,OA-AL2i3,OA-AL2i4,OA-ASM1,PDt,PLP051,PLP068,PLP215,PLP251,Pm01,Pm02,Pm03,Pm04,Pm05,Pm06,Pm07,Pm08,Pm09,Pm10,Pm11,Pm12,Pm13,Pm14,R1-6,R7,R8,Sm01,Sm02,Sm03,Sm04,Sm05,Sm06,Sm07,Sm08,Sm09,Sm10,Sm11,Sm12,Sm13,Sm14,Sm15,Sm16,Sm17,Sm18,Sm19,Sm20,Sm21,Sm22,Sm23,Sm24,Sm25,Sm26,Sm27,Sm28,Sm29,Sm30,Sm31,Sm32,Sm33,Sm34,Sm35,Sm36,Sm37,Sm38,Sm39,Sm40,Sm41,Sm42,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tlp1,Tlp14,Tlp4,Tlp5,Tm1,Tm16,Tm2,Tm20,Tm21,Tm25,Tm27,Tm3,Tm31,Tm32,Tm33,Tm34,Tm35,Tm36,Tm37,Tm4,Tm5a,Tm5b,Tm5c,Tm5d,Tm5e,Tm5f,Tm7,Tm8a,Tm8b,Tm9,TmY10,TmY11,TmY14,TmY15,TmY16,TmY20,TmY3,TmY31,TmY4,TmY5a,TmY9q,TmY9q⊥,VCH,VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,VST1,VST2,VSm,Y1,Y11,Y12,Y3,Y4,aMe1,aMe10,aMe12,aMe13,aMe15,aMe17a1,aMe17a2,aMe17b,aMe17c,aMe19a,aMe19b,aMe20,aMe22,aMe25,aMe26,aMe3,aMe4,aMe5,aMe6a,aMe8,aMe9,cL01,cL02a,cL02b,cL02c,cL02d,cL03,cL04,cL05,cL06,cL07,cL08,cL09,cL10,cL11,cL12,cL13,cL14,cL15,cL16,cL17,cL18,cL19,cL20,cL21,cL22a,cL22b,cL22c,cLLP02,cLLPM01,cLLPM02,cLM01,cLP01,cLP02,cLP03,cLP04,cLP05,cLPL01,cM01a,cM01b,cM01c,cM02a,cM02b,cM03,cM04,cM05,cM07,cM08a,cM08b,cM08c,cM09,cM10,cM12,cM13,cM14,cM15,cM16,cM17,cM18,cM19,cML01,cML02,cMLLP01,cMLLP02,l-LNv,mALC3,mALC4,mALC5,mALC6,mALD1,mALD2,s-LNva,vCal1
Nod2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nod3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,,,,,2,6,,,,,,,,,,,,,,,,,40,,,,,4,,,2,,,,,10,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Nod5,,,,,,240,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,42,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,18,,,,,,,,,,,,14,,23,,,,,61,12,,,,,,,,,,,,,3,,,,,,,,,2,,,3,,5,2,,8,,2,3,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,16,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,9,,,,2,,,61,,,,,,,,,,,2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
OA-AL2b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,,,2,,,5,,24,,,9,2,,,2,5,6,,,2,,2,7,,,,,,,,,2,,,10,2,,,,,,,,,,,4,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,,,,2,,9,43,2,,,,,,,,,,2,2,2,,,8,,,,2,,,,3,,3,,,,,,,2,,8,2,35,,,,,,,,,,,2,,,,,,,9,,,2,,,3,,,3,,,2,,,,3,,2,,,6,3,2,4,,,,,5,,,,,,2,,6,2,,,,,4,4,,,,2,,,,,,,,,,,,,,,,,,,34,12,52,2,2,2,2,10,18,15,15,4,34,,,8,,4,,,2,,3,,,,2,4,4,14,3,4,236,,,4,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,6,,,,2,,,,,2,,9,,,,,,,,,,8,,13,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,3,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,8,,
OA-AL2b2,,,,,,,3463,8647,,,,66,,,,,,,,7,5,,,,,23,78,,2,,20,4,15,13,5,410,46,13,12,6,2,,63,,2,36,,,,,,,,46,6,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,38,8756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,264,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10694,797,129,144,35,6,3036,6,,,,,,113,,,579,,,102,,,,,,,,,,,,,,,,,,,,,2,,,9,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,481,,,,,,,19,,,,,298,2,,,,,,,,,,,,,,26,128,,2,9,4,9,4391,,,,,,,,5,,,14,2,8,3,,,,555,,,3,2,2,,15,,,2,,50,,,,,,,,,,,,,,,,,,29,,2,,,,2,,4,,,,,,,13,62,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,12,6,,,,,,,,,,,,,,54,,,,,,,,
OA-AL2i1,3,,,,,30,,,,,11,2,,,,15,11,,,,,,,,,,899,,2032,,,,,,,,5,36,,,,2,,,,,,,2,,2,,5,,,15,,,,,,,,,,2,,,,,2,,,2,,,2,,,3,,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,21,4,4,,3,,6,6,12,6,26,5,5,4,2,,10,8,39,11,35,7,3,4,21,,,2,,2,3,2,,,,5,7,2,,,15,,,5,,,2,,11,153,2,15,,,4,8,2,15,62,8,,,,,,245,,,,,5,,,6,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,2,,,2,6,,,,6,,,,4,,6,,,2,2,11,2,,2,,12,,6,2,4,7,7,82,,5,25,16,6,7,,,,,,,,,,,,4,,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,10,,3,,,2,,,2,,30,,2,4,2,,,,,,,55,20,,,,,,,,,,,,,,78,,193,2,,69,84,2,,,3,,,,,,,,,,,,,,,14,15,7,2,53,2,8,41,,78,20,101,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,251,,2,4,2,25,33,29,8,10,16,24,38,23,,3,10,6,4,2,,,,15,4,,,,,2,2,,10,,10,,2,5,4,,,7,6,2,98,199,130,20,29,30,,2,615,,2,10,,,,,,,,,,,3,8,2,2,9,4,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,2,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,9,,8,,,,2,26,,,,,
OA-AL2i2,,,,,,76,2,,,,2,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,61,13,31,,13,4,2,40,14,,,,24,,,,,,,,19,3,,,,,,,6,4,,,,,,,,6,,,,,,,,,2,,,,,,,,,,57,98,117,10,275,650,106,8,2,,,,80,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,3,7,,4,,,,,,,,,,,,,,,,3,,,,,2,6,11,,,,,,,,,,,7,,,,,,,,7,6,,,,3,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,2,,,2,6,,,,55,,,,,30,41,31,,28,113,68,8,,15,,9,,,2,,470,,25,,3,,,9,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,,25,,,,2,,,,,,,26,14,,,,,,,,,,,,,,,10,25,,10,2,5,,,,,,,,,,,,2,,,,,363,235,10,454,1132,1121,109,34,834,176,14,12,10,26,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,129,136,389,2,3,4,2,,,,,,,,,8,,2,,204,25,8,6,,,,,,,,14,,,,,,4,,,,,,2,30,60,40,,4,,,1536,,,,,,,,,,,,,,,,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,10,,,,,,101,,,,,,
OA-AL2i3,,,,,,,,3,,,,27,,,,,,3,,,,,,,,578,171,,,,50,2,53,176,379,4,,,,2,,,199,,,17,,,,,,,,2,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23,,26,53,,2,,,,,,,164,,,23,,,38,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,20,,,16,11,124,,,,,,,,,,,,,,,2,2,,6,38,,,37,,,,,,,,,,12,17,,,2,,,,,2,2,2,,,,50,,,8,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,,37,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,17,,,,,,,,,,,,,,2,,,,,,,,
OA-AL2i4,5,,,,,,,,,,3,2,,,,,,,,,,,,,,,2,,,,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,3,6,4,18,2,15,26,4,6,,2,2,,,,,,,,,,,,,,,,,3,2,5,,,4,3,,,,,,,,2,,,4,,,,,,,,,,17,2,,,,,,13,11,2,,,2,,,,,83,,,,2,12,,,,,,6,,,12,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,4,,,,4,3,2,8,13,18,410,37,746,2,,27,19,5,72,12,,43,40,4,15,2,,2,11,,4,,4,6,,,5,2,,22,8,4,4,15,26,447,,,,,,,,,,,,,,,,,,2,,,,,2,,,3,,14,6,,2,,2,5,,10,5,,10,8,6,,24,,3,,,,,19,,2,2,,,,,,,,,,,,,,,,,,,,,2,,,3,4,2,5,,6,,,4,4,,3,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,2,,,,,4,,,,2,
OA-ASM1,2,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,18,2,,,,,51,375,71,2,18,38,27,,6,12,12,86,33,15,83,7,,2,,69,4,7,,,,,8,2,2,2,,18,,,,65,,,,6,9,,,2,4,2,,,,,,2,,18,,53,996,2,,18,2,4,,,,,,22,84,48,,,,,,,,2,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,16,,,,,,,,4,,10,2,,5,,,29,,,,2,2,16,,,2,,2,,,,,,,,,,34,6,,,18,,9,,,5,,,,,2,,,,,5,2,,2,,4,,10,,,2,3,,6,,15,,,,4,,5,,,3,,2,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,53,2,4,,15,28,,,66,65,21,12,37,,,4,2,77,13,,2,,,299,,,24,36,8,35,63,40,49,,14,2,5,4,,10,2,,2,,2,2,,,,,10,,,,,2,,,,,,,,,,,,,,4,2,,,,,,7,,,,,7,,14,2,,,,2,38,,,3,2,10,,331,,,,,,,,,20,10,,,,,,,,,,,,,,4,2,4,,5,,,,,,,5,,,,,,,9,,,,,,,,,329,,10,,4,114,,,90,34,,,,,,,,,,,,27,2,,,5,,,,,,,,,66,,2,,,,,,2,15,6,,,,9,,,,8,14,126,,8,12,,,,,,,,,,,2,,,,6,,28,6,,23,2,36,5,10,14,15,43,27,2,,6,4,39,8,24,14,22,6,,2,4,5,4,4,,2,6,15,685,5,4,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,16,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,2,,,,5,10,28,,,2,,6,,,,,,,,,,
PDt,,,,,,3,4,,,,,4,,,,2,,,,,,,,,,21,28,,5,,19,,19,48,1171,2,,,,,,,6,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,19,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,4,8,2,21,8,2,7,9,,,,,,4,,,36,,,,,,,,2,,,4,4,,,2,6,,6,3,2,6,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,4,,,,,,,,,,3,2,31,6,3,,,,,,,,,,,,,,,,,212,,4,10,,,,,,,,,,2,2,,,,,2,,,,,8,2,5,,10,,,4,,,,,,,,,,,,,,,2,2,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,2,,,,2,,,,,,,,
PLP051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,9,2,,3,,,,,,,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLP068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
